"","genbank_accession","organism","uid","loc","species_name","processid","lat","lon"
"171","KT626130","Macquarie perch","984698172","MP_CBR15|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"172","KT626131","Macquarie perch","984698173","MP_CBR16|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"173","KT626132","Macquarie perch","984698174","MP_CBR17|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"174","KT626133","Macquarie perch","984698175","MP_CBR18|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"175","KT626134","Macquarie perch","984698176","MP_CBR19|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"176","KT626135","Macquarie perch","984698177","MP_CBR20|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"177","KT626136","Macquarie perch","984698178","MP_CBR21|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"178","KT626137","Macquarie perch","984698179","MP_CBR22|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"179","KT626138","Macquarie perch","984698180","MP_CBR23|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"180","KT626139","Macquarie perch","984698181","MP_CBR24|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"181","KT626140","Macquarie perch","984698182","MP_CBR25|Australia: Dartmouth Reservoir|36.7148 S 147.6574 E|08-Nov-2012|Brett Ingram",NA,NA,NA,NA
"182","KT626141","Macquarie perch","984698183","MP_CDM01|Australia: Cataract Dam|34.266 S 150.81 E|12-May-2009|Mark Lintermans",NA,NA,NA,NA
"183","KT626142","Macquarie perch","984698184","MP_CDM02|Australia: Cataract Dam|34.266 S 150.81 E|12-May-2009|Mark Lintermans",NA,NA,NA,NA
"184","KT626143","Macquarie perch","984698185","MP_CDM03|Australia: Cataract Dam|34.266 S 150.81 E|12-May-2009|Mark Lintermans",NA,NA,NA,NA
"185","KT626144","Macquarie perch","984698186","MP_CDM04|Australia: Cataract Dam|34.266 S 150.81 E|12-May-2009|Mark Lintermans",NA,NA,NA,NA
"186","KT626145","Macquarie perch","984698187","MP_CDM05|Australia: Cataract Dam|34.266 S 150.81 E|12-May-2009|Mark Lintermans",NA,NA,NA,NA
"187","KT626146","Macquarie perch","984698188","MP_CDM06|Australia: Cataract Dam|34.266 S 150.81 E|12-May-2009|Mark Lintermans",NA,NA,NA,NA
"188","KT626147","Macquarie perch","984698189","MP_CDM07|Australia: Cataract Dam|34.266 S 150.81 E|12-May-2009|Mark Lintermans",NA,NA,NA,NA
"189","KT626148","Macquarie perch","984698190","MP_CDM08|Australia: Cataract Dam|34.266 S 150.81 E|12-May-2009|Mark Lintermans",NA,NA,NA,NA
"190","KT626149","Macquarie perch","984698191","MP_CDM09|Australia: Cataract Dam|34.266 S 150.81 E|12-May-2009|Mark Lintermans",NA,NA,NA,NA
"191","KT626150","Macquarie perch","984698192","MP_CDM10|Australia: Cataract Dam|34.266 S 150.81 E|12-May-2009|Mark Lintermans",NA,NA,NA,NA
"192","KT626151","Macquarie perch","984698193","MP_CDM11|Australia: Cataract Dam|34.266 S 150.81 E|12-May-2009|Mark Lintermans",NA,NA,NA,NA
"193","KT626152","Macquarie perch","984698194","MP_CDM12|Australia: Cataract Dam|34.266 S 150.81 E|12-May-2009|Mark Lintermans",NA,NA,NA,NA
